,Full_Name,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Email,Age,Experience_Years,City,Job_Title,Marital_Status,Education_Level,Salary,Country,Salary_Amount,Salary_Currency,Salary_USD
4772,Hussein Fady,Hussein,Fady,M,1980-10-07,2004-07-13,hfady@gmail.com,45,21,Mumbai,Mechanical Engineer,S,Master,136300.0 AUD,India,136300,AUD,88595.0
4773,Mariam Ashraf,Mariam,Ashraf,F,1984-02-14,2007-12-12,mariam.ashraf@gmail.com,41,18,São Paulo,Sales Manager,M,Bachelor,9086.92 USD,Brazil,9086,USD,9086.0
4774,Salma Hatem,Salma,Hatem,F,1965-10-20,2007-07-19,salma.hatem@gmail.com,59,18,Los Angeles,Architect,M,Bachelor,10817.08 JPY,United States,10817,JPY,71.39
4775,Hala Nabil,Hala,Nabil,F,1974-07-11,1992-04-01,hala.nabil@gmail.com,51,33,Berlin,Architect,S,Masters,12355.42 GBP,Germany,12355,GBP,15443.75
4777,Radwa Ali,Radwa,Ali,F,1972-05-06,2019-07-03,radwa.ali@gmail.com,53,6,Buenos Aires,Architect,S,Masters,75998.0 EUR,Argentina,75998,EUR,81317.86
4778,Noha Sherif,Noha,Sherif,F,1984-06-07,2014-06-29,noha.sherif@gmail.com,41,11,New York,Teacher,S,PhD,100567.0 GBP,United States,100567,GBP,125708.75
4779,Amira Nashaat,Amira,Nashaat,F,1991-03-27,2023-05-05,amira.nashaat@gmail.com,34,2,Abu Dhabi,Data Scientist,S,High School,4224.25 USD,United Arab Emirates,4224,USD,4224.0
4780,Hossam Wahid,Hossam,Wahid,M,1988-06-13,2023-06-13,hwahid@gmail.com,37,2,Sharjah,Architect,M,Master,4793.17 GBP,United Arab Emirates,4793,GBP,5991.25
4781,Yasmeen Hany,Yasmeen,Hany,F,2002-08-07,2023-10-08,yasmeen.hany@gmail.com,23,2,Bangkok,Dentist,M,Masters,68414.0 USD,Thailand,68414,USD,68414.0
4782,Ashraf Galal,Ashraf,Galal,M,1970-02-06,2006-03-09,ashraf.galal@gmail.com,55,19,Dubai,Architect,M,High School,111348.0 GBP,United Arab Emirates,111348,GBP,139185.0
4783,Lina Fady,Lina,Fady,F,1968-11-16,1993-09-07,lina.fady@gmail.com,56,32,Muscat,Nurse,M,High School,132212.0 USD,Oman,132212,USD,132212.0
4784,Hossam Fouad,Hossam,Fouad,M,1974-03-07,2010-07-21,hossam.fouad@gmail.com,51,15,Amman,Teacher,S,Bachelor,130508.0 USD,Jordan,130508,USD,130508.0
4785,Eslam Hamza,Eslam,Hamza,M,1972-11-09,2005-01-10,eslam.hamza@gmail.com,53,21,Toronto,Nurse,M,PhD,12439.58 CAD,Canada,12439,CAD,9080.47
4786,Hatem Hossam,Hatem,Hossam,M,1988-07-17,2007-03-27,hatem.hossam@gmail.com,37,18,Cairo,Business Analyst,M,Bachelor,12496.75 AUD,Egypt,12496,AUD,8122.4
4787,Wafaa Nader,Wafaa,Nader,F,1985-11-19,2018-02-05,wafaa.nader@gmail.com,40,8,São Paulo,Data Scientist,S,Bachelor,6136.25 EGP,Brazil,6136,EGP,196.35
4788,Abdelrahman Ayman,Abdelrahman,Ayman,M,1965-08-14,2010-10-03,abdelrahman.ayman@gmail.com,59,15,Sharjah,Data Scientist,M,PhD,10410.67 USD,United Arab Emirates,10410,USD,10410.0
4789,Lobna Bassem,Lobna,Bassem,F,2004-11-27,2025-05-05,lbassem@gmail.com,21,0,Bangkok,Dentist,S,High School,52901.64894736842 GBP,Thailand,52901,GBP,66126.25
4790,Jamal Maged,Jamal,Maged,M,2002-04-01,2023-04-10,jamal.maged@gmail.com,23,2,Sharjah,Mechanical Engineer,M,PhD,55764.0 EUR,United Arab Emirates,55764,EUR,59667.48
4791,Eslam Tarek,Eslam,Tarek,M,2003-08-05,2021-06-14,etarek@gmail.com,22,4,Mansoura,Doctor,M,Masters,4707.83 AUD,Egypt,4707,AUD,3059.55
4792,Sana Ramy,Sana,Ramy,F,1984-07-16,2022-01-25,sana.ramy@gmail.com,41,4,Kuwait City,Electrical Engineer,S,Bachelor,51918.0 EUR,Kuwait,51918,EUR,55552.26
4793,Khalil Kareem,Khalil,Kareem,M,2002-11-27,2022-08-16,khalil.kareem@gmail.com,23,3,Dubai,Pharmacist,M,Masters,64756.0 EUR,United Arab Emirates,64756,EUR,69288.92
4794,Hassan Nashaat,Hassan,Nashaat,M,1974-09-19,1997-09-19,hassan.nashaat@gmail.com,51,28,Jeddah,Teacher,M,PhD,8938.42 EUR,Saudi Arabia,8938,EUR,9563.66
4795,Galal Mounir,Galal,Mounir,M,1976-08-06,2015-05-28,galal.mounir@gmail.com,49,10,Dammam,Software Developer,S,Master,10111.33 EUR,Saudi Arabia,10111,EUR,10818.77
4796,Maha Ayman,Maha,Ayman,F,1982-06-01,2002-07-08,maha.ayman@gmail.com,43,23,Moscow,Electrical Engineer,S,High School,12411.33 EGP,Russia,12411,EGP,397.15
4797,Youssef Hany,Youssef,Hany,M,2002-01-18,2023-01-11,youssef.hany@gmail.com,23,3,Istanbul,Sales Manager,M,PhD,4935.75 USD,Turkey,4935,USD,4935.0
4798,Saad Mahmoud,Saad,Mahmoud,M,1965-09-18,2010-09-12,smahmoud@gmail.com,59,15,New York,Data Scientist,S,Bachelor,130741.0 USD,United States,130741,USD,130741.0
4799,Adel Hatem,Adel,Hatem,M,1985-09-08,2025-06-28,adel.hatem@gmail.com,40,0,London,Engineer,M,Bachelor,64374.07913043479 AUD,United Kingdom,64374,AUD,41843.1
4800,Ahmed Mostafa,Ahmed,Mostafa,M,1991-12-25,2021-11-15,ahmed.mostafa@gmail.com,34,4,London,Doctor,M,Masters,52655.0 AUD,United Kingdom,52655,AUD,34225.75
4801,Hany Adel,Hany,Adel,M,1975-10-25,2013-02-04,hany.adel@gmail.com,50,13,Los Angeles,Sales Manager,S,PhD,124031.0 CAD,United States,124031,CAD,90542.63
4802,Zainab Ashraf,Zainab,Ashraf,F,1989-07-02,2009-09-18,zainab.ashraf@gmail.com,36,16,Beirut,Pharmacist,M,High School,120910.0 JPY,Lebanon,120910,JPY,798.01
4803,Mahmoud Ziad,Mahmoud,Ziad,M,1970-12-07,1994-11-23,mziad@gmail.com,55,31,Riyadh,Financial Analyst,S,Master,108213.0 GBP,Saudi Arabia,108213,GBP,135266.25
4804,Khadija Galal,Khadija,Galal,F,1985-03-24,2019-10-12,khadija.galal@gmail.com,40,6,Abu Dhabi,Sales Manager,S,High School,78978.0 JPY,United Arab Emirates,78978,JPY,521.25
4805,Kareem Osama,Kareem,Osama,M,1977-11-15,2014-12-28,kareem.osama@gmail.com,48,11,Bangkok,Data Scientist,S,Bachelor,9749.58 JPY,Thailand,9749,JPY,64.34
4806,Hanan Rafik,Hanan,Rafik,F,1971-03-03,2008-05-08,hanan.rafik@gmail.com,54,17,Rabat,Sales Manager,M,Diploma,10518.83 EGP,Morocco,10518,EGP,336.58
4807,Jamal Ahmed,Jamal,Ahmed,M,1993-08-21,2025-11-13,jahmed@gmail.com,32,0,Sydney,Software Developer,M,Bachelor,36782.967619047624 CAD,Australia,36782,CAD,26850.86
4808,Samar Nader,Samar,Nader,F,1988-01-14,2021-01-13,samar.nader@gmail.com,37,5,Abu Dhabi,Sales Manager,M,High School,8332.0 AUD,United Arab Emirates,8332,AUD,5415.8
4809,Waleed Abdelrahman,Waleed,Abdelrahman,M,1971-11-15,2023-10-28,wabdelrahman@gmail.com,54,2,Beijing,Accountant,M,Bachelor,51913.0 USD,China,51913,USD,51913.0
4810,Lobna Bassem,Lobna,Bassem,F,1997-10-19,2016-01-03,lobna.bassem@gmail.com,28,10,Paris,Pharmacist,M,Bachelor,11146.08 GBP,France,11146,GBP,13932.5
4811,Salma Hassan,Salma,Hassan,F,1978-08-03,1998-10-23,salma.hassan@gmail.com,47,27,Mansoura,Lawyer,M,Bachelor,119293.0 GBP,Egypt,119293,GBP,149116.25
4812,Hanan Hamza,Hanan,Hamza,F,1987-06-08,2012-12-10,hanan.hamza@gmail.com,38,13,Jeddah,Graphic Designer,S,Diploma,9458.33 EGP,Saudi Arabia,9458,EGP,302.66
4813,Amal Maged,Amal,Maged,F,1987-12-12,2007-10-01,amal.maged@gmail.com,38,18,Buenos Aires,Engineer,S,PhD,146572.0 JPY,Argentina,146572,JPY,967.38
4814, Sherif Mostafa ,Sherif,Mostafa,M,1970-03-07,2015-12-16,smostafa@gmail.com,55,10,Rabat,Software Developer,S,Diploma,9008.83 AUD,Morocco,9008,AUD,5855.2
4815,Tamer Hossam,Tamer,Hossam,M,1965-01-01,1993-03-27,tamer.hossam@gmail.com,60,32,Tokyo,Business Analyst,M,Masters,137833.0 CAD,Japan,137833,CAD,100618.09
4816,Abdelrahman Wahid,Abdelrahman,Wahid,M,1983-08-10,2003-09-15,awahid@gmail.com,42,22,Abu Dhabi,Architect,S,PhD,11479.17 JPY,United Arab Emirates,11479,JPY,75.76
4817,Kamal Nader,Kamal,Nader,M,1990-10-03,2016-09-17,kamal.nader@gmail.com,35,9,Berlin,Dentist,S,Masters,70702.0 GBP,Germany,70702,GBP,88377.5
4818,Sana Adel,Sana,Adel,F,1986-07-03,2008-10-12,sana.adel@gmail.com,39,17,Cairo,Graphic Designer,M,PhD,108592.0 GBP,Egypt,108592,GBP,135740.0
4819,Khadija Ayman,Khadija,Ayman,F,1970-09-17,2000-11-07,khadija.ayman@gmail.com,55,25,Mexico City,Accountant,S,Diploma,146542.0 CAD,Mexico,146542,CAD,106975.66
4820,Mounir Youssef,Mounir,Youssef,M,2005-12-21,2024-01-27,mounir.youssef@gmail.com,20,2,Cairo,Sales Manager,S,High School,67081.0 GBP,Egypt,67081,GBP,83851.25
4821, Noha Ali ,Noha,Ali,F,1974-07-24,2019-02-06,noha.ali@gmail.com,51,7,Tokyo,Financial Analyst,S,Bachelor,98556.0 EGP,Japan,98556,EGP,3153.79
4822,Hatem Nashaat,Hatem,Nashaat,M,1977-02-03,2006-02-17,hatem.nashaat@gmail.com,48,20,Berlin,Accountant,S,Masters,8501.92 GBP,Germany,8501,GBP,10626.25
4823,Amr Nabil,Amr,Nabil,M,1989-03-27,2012-11-21,amr.nabil@gmail.com,36,13,Moscow,Doctor,M,Bachelor,8412.92 EUR,Russia,8412,EUR,9000.84
4824,Adel Mohamed,Adel,Mohamed,M,1970-10-04,1989-03-12,amohamed@gmail.com,55,36,Muscat,Teacher,S,Master,129533.0 EUR,Oman,129533,EUR,138600.31
4825, Wafaa Ashraf ,Wafaa,Ashraf,F,2006-08-20,2025-11-28,wafaa.ashraf@gmail.com,18,0,London,Financial Analyst,M,Masters,49221.9065625 AUD,United Kingdom,49221,AUD,31993.65
4826,Tawfik Mostafa,Tawfik,Mostafa,M,1974-08-18,2007-08-22,tawfik.mostafa@gmail.com,51,18,Beijing,Software Developer,S,Bachelor,11678.42 EUR,China,11678,EUR,12495.46
4827, Fouad Kareem ,Fouad,Kareem,M,1974-03-22,2008-09-04,fouad.kareem@gmail.com,51,17,London,Engineer,S,Master,140911.0 USD,United Kingdom,140911,USD,140911.0
4828,Mahmoud Fady,Mahmoud,Fady,M,1977-06-16,2013-06-22,mahmoud.fady@gmail.com,48,12,Cairo,Graphic Designer,S,PhD,128852.0 AUD,Egypt,128852,AUD,83753.8
4829,Amr Yahya,Amr,Yahya,M,2004-11-14,2025-08-15,amr.yahya@gmail.com,21,0,Dubai,Teacher,M,Bachelor,54892.976835443034 CAD,United Arab Emirates,54892,CAD,40071.16
4830,Fatima Nashaat,Fatima,Nashaat,F,2004-03-06,2023-09-06,fnashaat@gmail.com,21,2,Riyadh,Sales Manager,M,Masters,54585.0 EGP,Saudi Arabia,54585,EGP,1746.72
4831,Khadija Jamal,Khadija,Jamal,F,1995-04-16,2013-03-01,khadija.jamal@gmail.com,30,12,Mansoura,Engineer,M,High School,11861.5 EGP,Egypt,11861,EGP,379.55
4832,Khalil Ihab,Khalil,Ihab,M,1998-11-15,2023-09-07,khalil.ihab@gmail.com,27,2,Los Angeles,Mechanical Engineer,M,PhD,63231.0 EGP,United States,63231,EGP,2023.39
4833,Dina Saad,Dina,Saad,F,1972-07-13,2013-03-31,dina.saad@gmail.com,53,12,Cairo,Data Scientist,S,Master,11578.83 JPY,Egypt,11578,JPY,76.41
4834,Hala Mahmoud,Hala,Mahmoud,F,1984-10-20,2009-03-18,hmahmoud@gmail.com,41,16,Toronto,Teacher,S,Master,104861.0 JPY,Canada,104861,JPY,692.08
4836,Sherif Ahmed,Sherif,Ahmed,M,1977-03-26,2012-10-15,sherif.ahmed@gmail.com,48,13,London,Data Scientist,S,Diploma,140576.0 CAD,United Kingdom,140576,CAD,102620.48
4838,Aisha Waleed,Aisha,Waleed,F,1975-06-01,2013-04-24,awaleed@gmail.com,50,12,Mansoura,Financial Analyst,S,Masters,8727.58 JPY,Egypt,8727,JPY,57.6
4839,Nader Waleed,Nader,Waleed,M,1999-01-11,2019-03-09,nader.waleed@gmail.com,26,6,Dubai,Financial Analyst,M,Bachelor,72629.0 CAD,United Arab Emirates,72629,CAD,53019.17
4840,Yahya Tamer,Yahya,Tamer,M,1984-11-27,2019-01-20,yahya.tamer@gmail.com,41,7,New York,Data Scientist,S,Bachelor,6193.33 AUD,United States,6193,AUD,4025.45
4841,Mariam Youssef,Mariam,Youssef,F,2003-03-13,2024-07-30,mariam.youssef@gmail.com,22,1,Mumbai,Financial Analyst,M,High School,48901.09206896552 GBP,India,48901,GBP,61126.25
4842,Mariam Wahid&,Mariam,Wahid,F,1989-03-08,2012-06-24,mariam.wahid@gmail.com,36,13,Sydney,Financial Analyst,M,High School,143117.0 AUD,Australia,143117,AUD,93026.05
4843,Ali Fouad,Ali,Fouad,M,1990-10-06,2024-03-25,afouad@gmail.com,35,1,Tokyo,Engineer,M,Masters,47444.039047619044 EUR,Japan,47444,EUR,50765.08
4844, Salma Abdullah ,Salma,Abdullah,F,1980-11-16,2024-11-26,salma.abdullah@gmail.com,45,1,Cape Town,Mechanical Engineer,S,Bachelor,50129.75 AUD,South Africa,50129,AUD,32583.85
4845,Nader Latif,Nader,Latif,M,1981-07-22,2025-07-15,nader.latif@gmail.com,44,0,Doha,Civil Engineer,M,Diploma,42913.408500000005 USD,Qatar,42913,USD,42913.0
4846,Medhat Yahya,Medhat,Yahya,M,2002-05-28,2021-12-17,medhat.yahya@gmail.com,23,4,Los Angeles,Accountant,M,PhD,5180.0 EUR,United States,5180,EUR,5542.6
4848,Mostafa Mohamed,Mostafa,Mohamed,M,1967-01-10,2018-06-28,mostafa.mohamed@gmail.com,58,7,Istanbul,Graphic Designer,M,High School,7065.33 EUR,Turkey,7065,EUR,7559.55
4850,Jamal Abdelrahman,Jamal,Abdelrahman,M,1994-08-20,2017-02-06,jamal.abdelrahman@gmail.com,31,9,London,Financial Analyst,M,Bachelor,6389.25 EGP,United Kingdom,6389,EGP,204.45
4851,Wafaa Youssef,Wafaa,Youssef,F,1968-12-01,2018-01-02,wyoussef@gmail.com,56,8,Buenos Aires,Business Analyst,S,High School,81932.0 CAD,Argentina,81932,CAD,59810.36
4852,Salma Hossam,Salma,Hossam,F,1982-10-28,2019-05-19,salma.hossam@gmail.com,43,6,Dammam,Lawyer,M,Bachelor,80572.0 GBP,Saudi Arabia,80572,GBP,100715.0
4853,Hanan Nashaat,Hanan,Nashaat,F,1996-12-04,2024-10-11,hnashaat@gmail.com,29,1,Tokyo,Accountant,M,Diploma,58339.864583333336 EUR,Japan,58339,EUR,62422.73
4855,Sana Eslam,Sana,Eslam,F,1997-10-22,2020-04-17,sana.eslam@gmail.com,28,5,Paris,Business Analyst,M,High School,88552.0 EUR,France,88552,EUR,94750.64
4856,Lobna Sami,Lobna,Sami,F,2000-09-23,2025-08-30,lobna.sami@gmail.com,25,0,Los Angeles,Teacher,S,High School,60288.193191489365 CAD,United States,60288,CAD,44010.24
4857,Bassem Adel#,Bassem,Adel,M,1998-09-11,2017-10-22,badel@gmail.com,27,8,Kuwait City,Accountant,M,PhD,77402.0 AUD,Kuwait,77402,AUD,50311.3
4858,Hany Hesham,Hany,Hesham,M,2001-02-01,2019-08-06,hhesham@gmail.com,24,6,Sydney,Business Analyst,S,Masters,86284.0 EUR,Australia,86284,EUR,92323.88
4859,Kamal Kareem,Kamal,Kareem,M,2003-12-18,2024-02-21,kamal.kareem@gmail.com,22,1,Doha,Dentist,S,PhD,88305.05642857144 USD,Qatar,88305,USD,88305.0
4861,Heba Nashaat$,Heba,Nashaat,F,1981-05-03,2006-07-16,heba.nashaat@gmail.com,44,19,Alexandria,Accountant,S,Bachelor,140408.0 EGP,Egypt,140408,EGP,4493.06
4862,Fouad Abdelrahman,Fouad,Abdelrahman,M,1977-10-16,2008-01-16,fouad.abdelrahman@gmail.com,48,18,Amman,Civil Engineer,S,Masters,10940.42 EUR,Jordan,10940,EUR,11705.8
4863,Khadija Fouad,Khadija,Fouad,F,2002-06-26,2020-12-20,khadija.fouad@gmail.com,23,5,Riyadh,Sales Manager,M,Bachelor,72929.0 EGP,Saudi Arabia,72929,EGP,2333.73
4864,Aisha Ashraf,Aisha,Ashraf,F,1980-07-04,2007-12-14,aisha.ashraf@gmail.com,45,18,Moscow,Data Scientist,M,Bachelor,132862.0 CAD,Russia,132862,CAD,96989.26
4865,Nader Bassem,Nader,Bassem,M,2002-09-27,2025-09-24,nbassem@gmail.com,23,0,Rabat,Architect,S,High School,53131.76454545455 JPY,Morocco,53131,JPY,350.66
4866,Hesham Nashaat,Hesham,Nashaat,M,1996-09-10,2024-07-09,hnashaat@gmail.com,29,1,Sydney,Data Scientist,S,Diploma,50055.332962962966 CAD,Australia,50055,CAD,36540.15
4867,Khaled Osama,Khaled,Osama,M,1988-04-07,2018-03-29,kosama@gmail.com,37,7,Sydney,Dentist,M,PhD,77720.0 GBP,Australia,77720,GBP,97150.0
4868, Radwa Mostafa ,Radwa,Mostafa,F,2006-03-08,2025-02-03,radwa.mostafa@gmail.com,19,0,Berlin,Engineer,M,Bachelor,58308.8570967742 JPY,Germany,58308,JPY,384.83
4870,Hanan Kareem,Hanan,Kareem,F,2004-10-27,2025-06-10,hanan.kareem@gmail.com,21,0,Seoul,Civil Engineer,M,PhD,59198.31409090909 USD,South Korea,59198,USD,59198.0
4871,Radwa Fouad,Radwa,Fouad,F,1982-08-28,2000-03-31,radwa.fouad@gmail.com,43,25,New York,Business Analyst,S,Bachelor,103949.0 CAD,United States,103949,CAD,75882.77
4872,Dina Nader,Dina,Nader,F,1977-04-18,1998-07-30,dina.nader@gmail.com,48,27,Abu Dhabi,Data Scientist,S,Diploma,109391.0 JPY,United Arab Emirates,109391,JPY,721.98
4874,Abdullah Galal,Abdullah,Galal,M,1973-12-12,1999-10-30,agalal@gmail.com,52,26,Toronto,Nurse,S,Bachelor,10170.08 AUD,Canada,10170,AUD,6610.5
4876,Mohamed Ayman,Mohamed,Ayman,M,1969-04-21,1989-01-11,mohamed.ayman@gmail.com,56,37,Beirut,Software Developer,S,Diploma,139501.0 USD,Lebanon,139501,USD,139501.0
4877,Wafaa Amr,Wafaa,Amr,F,1971-04-24,2006-04-08,wafaa.amr@gmail.com,54,19,Bangkok,Doctor,M,Bachelor,9618.58 CAD,Thailand,9618,CAD,7021.14
4878,Asmaa Kareem,Asmaa,Kareem,F,1976-02-10,2000-03-31,asmaa.kareem@gmail.com,49,25,Moscow,Mechanical Engineer,S,Diploma,12258.25 USD,Russia,12258,USD,12258.0
4879,Sahar Kareem,Sahar,Kareem,F,2002-03-02,2022-10-09,sahar.kareem@gmail.com,23,3,Cape Town,Financial Analyst,S,Diploma,59965.0 GBP,South Africa,59965,GBP,74956.25
4880,Tamer Tawfik$,Tamer,Tawfik,M,1981-12-06,2006-08-17,ttawfik@gmail.com,44,19,Dubai,Architect,M,PhD,129398.0 EUR,United Arab Emirates,129398,EUR,138455.86
4881,Tarek Galal,Tarek,Galal,M,1996-06-17,2017-04-23,tarek.galal@gmail.com,29,8,Beirut,Graphic Designer,M,Bachelor,7042.92 JPY,Lebanon,7042,JPY,46.48
4882,Mounir Nader,Mounir,Nader,M,1969-05-24,2004-08-25,mounir.nader@gmail.com,55,21,Toronto,Lawyer,M,PhD,12351.33 GBP,Canada,12351,GBP,15438.75
4883,Salma Khalil,Salma,Khalil,F,1965-04-18,2002-03-03,salma.khalil@gmail.com,60,23,Mumbai,Architect,S,PhD,112105.0 GBP,India,112105,GBP,140131.25
4884,Hossam Ashraf,Hossam,Ashraf,M,1983-12-26,2011-06-27,hossam.ashraf@gmail.com,42,14,Cape Town,Nurse,S,Masters,8746.25 CAD,South Africa,8746,CAD,6384.58
4885,Khadija Hatem,Khadija,Hatem,F,1968-12-20,1988-09-18,khadija.hatem@gmail.com,56,37,Seoul,Dentist,S,Master,9301.75 JPY,South Korea,9301,JPY,61.39
4886,Tarek Fady,Tarek,Fady,M,1990-08-02,2012-10-15,tfady@gmail.com,35,13,Sydney,Data Scientist,S,Bachelor,8639.58 USD,Australia,8639,USD,8639.0
4887,Wafaa Wahid,Wafaa,Wahid,F,1974-07-09,2012-04-22,wwahid@gmail.com,51,13,Cairo,Financial Analyst,M,PhD,12102.5 AUD,Egypt,12102,AUD,7866.3
4888,Hussein Fouad,Hussein,Fouad,M,1985-04-28,2017-06-05,hussein.fouad@gmail.com,40,8,Mansoura,Data Scientist,S,Bachelor,6511.17 EUR,Egypt,6511,EUR,6966.77
4889,Youssef Khalil,Youssef,Khalil,M,1970-08-18,2023-09-09,ykhalil@gmail.com,55,2,Amman,Accountant,M,Bachelor,5398.75 AUD,Jordan,5398,AUD,3508.7
4890,Ashraf Nashaat,Ashraf,Nashaat,M,1994-07-12,2017-09-28,ashraf.nashaat@gmail.com,31,8,Mansoura,Architect,S,Master,6693.0 GBP,Egypt,6693,GBP,8366.25
4892,Tawfik Abdelrahman,Tawfik,Abdelrahman,M,2002-05-26,2025-08-30,tabdelrahman@gmail.com,23,0,Tokyo,Data Scientist,M,PhD,50415.51434782609 EUR,Japan,50415,EUR,53944.05
4893,Sahar Wahid,Sahar,Wahid,F,1993-03-06,2016-01-22,sahar.wahid@gmail.com,32,10,Mumbai,Graphic Designer,S,Diploma,10196.42 AUD,India,10196,AUD,6627.4
4894,Yahya Wael,Yahya,Wael,M,1994-01-16,2018-12-23,ywael@gmail.com,31,7,Kuwait City,Lawyer,M,High School,7913.25 EGP,Kuwait,7913,EGP,253.22
4895,Bassem Mohamed,Bassem,Mohamed,M,1977-01-16,2001-07-11,bassem.mohamed@gmail.com,48,24,Muscat,Sales Manager,S,Bachelor,8402.17 JPY,Oman,8402,JPY,55.45
4896,Zainab Amr,Zainab,Amr,F,2006-03-18,2024-04-05,zainab.amr@gmail.com,19,1,New York,Pharmacist,M,Diploma,46884.049523809525 CAD,United States,46884,CAD,34225.32
4897,Mariam Saad,Mariam,Saad,F,1999-08-11,2022-12-29,msaad@gmail.com,26,3,Kuwait City,Engineer,S,Master,51619.0 CAD,Kuwait,51619,CAD,37681.87
4898,Nour Yahya,Nour,Yahya,F,1997-08-10,2018-09-20,nyahya@gmail.com,28,7,Mexico City,Software Developer,M,Bachelor,6370.0 JPY,Mexico,6370,JPY,42.04
4899,Sherif Galal,Sherif,Galal,M,2006-06-24,2025-11-24,sgalal@gmail.com,18,0,Beijing,Software Developer,M,Bachelor,44593.0404 EUR,China,44593,EUR,47714.51
4900,Nashaat Mounir,Nashaat,Mounir,M,1985-11-10,2008-09-19,nashaat.mounir@gmail.com,40,17,Jeddah,Doctor,S,PhD,11798.17 JPY,Saudi Arabia,11798,JPY,77.87
4901,Youssef Sherif,Youssef,Sherif,M,1970-08-15,1994-08-12,youssef.sherif@gmail.com,55,31,Sydney,Civil Engineer,M,Masters,10525.08 JPY,Australia,10525,JPY,69.46
4902,Eslam Latif,Eslam,Latif,M,1991-09-06,2012-10-22,eslam.latif@gmail.com,34,13,Los Angeles,Sales Manager,M,PhD,11224.83 EGP,United States,11224,EGP,359.17
4904,Wafaa Tarek,Wafaa,Tarek,F,1976-06-12,2007-09-10,wafaa.tarek@gmail.com,49,18,Berlin,Accountant,M,Masters,106048.0 CAD,Germany,106048,CAD,77415.04
4905,Nour Mounir,Nour,Mounir,F,1965-12-06,2006-04-01,nour.mounir@gmail.com,59,19,London,Architect,M,Bachelor,145229.0 AUD,United Kingdom,145229,AUD,94398.85
4906,Asmaa Bassem,Asmaa,Bassem,F,2005-09-05,2024-11-09,abassem@gmail.com,20,1,Rabat,Doctor,M,Bachelor,58185.75 JPY,Morocco,58185,JPY,384.02
4907,Nader Nader,Nader,Nader,M,1985-02-26,2024-05-28,nader.nader@gmail.com,40,1,Seoul,Mechanical Engineer,M,Diploma,67697.5404 USD,South Korea,67697,USD,67697.0
4908,Tawfik Fady%,Tawfik,Fady,M,2002-10-03,2021-09-09,tawfik.fady@gmail.com,23,4,London,Doctor,M,Diploma,4274.08 EUR,United Kingdom,4274,EUR,4573.18
4909,Dina Ibrahim,Dina,Ibrahim,F,1993-05-13,2011-06-17,dina.ibrahim@gmail.com,32,14,Sharjah,Accountant,M,Bachelor,137884.0 AUD,United Arab Emirates,137884,AUD,89624.6
4910,Dina Nabil$,Dina,Nabil,F,1979-04-22,2002-10-26,dina.nabil@gmail.com,46,23,Kuwait City,Teacher,S,Master,12484.75 AUD,Kuwait,12484,AUD,8114.6
4911,Amal Jamal,Amal,Jamal,F,2005-02-06,2025-10-30,ajamal@gmail.com,20,0,Toronto,Nurse,M,Bachelor,48884.64043478261 GBP,Canada,48884,GBP,61105.0
4912,Rafik Tawfik,Rafik,Tawfik,M,2004-11-21,2025-06-15,rafik.tawfik@gmail.com,21,0,Moscow,Financial Analyst,S,Master,59794.671875 AUD,Russia,59794,AUD,38866.1
4915,Sahar Tamer,Sahar,Tamer,F,1984-04-04,2021-06-11,stamer@gmail.com,41,4,New York,Software Developer,M,Bachelor,5680.5 CAD,United States,5680,CAD,4146.4
4916,Radwa Khalil$,Radwa,Khalil,F,1977-08-06,2018-02-06,rkhalil@gmail.com,48,8,Istanbul,Teacher,S,High School,99315.0 EGP,Turkey,99315,EGP,3178.08
4917,Amira Galal,Amira,Galal,F,2002-05-04,2023-09-08,agalal@gmail.com,23,2,Mexico City,Sales Manager,M,High School,51338.0 CAD,Mexico,51338,CAD,37476.74
4918,Waleed Amr,Waleed,Amr,M,1992-12-16,2019-10-25,waleed.amr@gmail.com,33,6,Kuwait City,Software Developer,S,Masters,7898.33 GBP,Kuwait,7898,GBP,9872.5
4919,Osama Bassem,Osama,Bassem,M,2004-07-07,2024-06-05,osama.bassem@gmail.com,21,1,Sharjah,Lawyer,M,Master,57930.010307692304 CAD,United Arab Emirates,57930,CAD,42288.9
4920,Hossam Nashaat,Hossam,Nashaat,M,1978-08-25,2021-02-24,hossam.nashaat@gmail.com,47,4,Dubai,Software Developer,S,Bachelor,5743.0 AUD,United Arab Emirates,5743,AUD,3732.95
4921,Noha Khalil,Noha,Khalil,F,2005-01-18,2024-11-01,noha.khalil@gmail.com,20,2,São Paulo,Lawyer,S,Diploma,61014.0 GBP,Brazil,61014,GBP,76267.5
4922,Sahar Ramy%,Sahar,Ramy,F,2005-04-19,2024-12-05,sahar.ramy@gmail.com,20,1,Beijing,Pharmacist,M,Masters,37103.88208333334 EUR,China,37103,EUR,39700.21
4923,Fatima Nader,Fatima,Nader,F,1987-05-18,2021-12-20,fatima.nader@gmail.com,38,4,Dubai,Lawyer,M,Masters,4326.17 EGP,United Arab Emirates,4326,EGP,138.43
4924,Sherif Amr,Sherif,Amr,M,1999-09-27,2021-06-27,sherif.amr@gmail.com,26,4,London,Lawyer,M,Bachelor,5781.33 GBP,United Kingdom,5781,GBP,7226.25
