Full_Name,First_Name,Last_Name,Gender,Date_of_Birth,Hire_Date,Email,Age,Experience_Years,City,Job_Title,Marital_Status,Education_Level,Salary
Layla Mahmoud,Layla,Mahmoud,F,1978/12/20,2000/03/03,lmahmoud@gmail.com,47.0,25,"Amman, Jordan",Accountant,Married,BS,10089.92 USD
Tamer Ihab,Tamer,Ihab,M,07/11/1986,03/21/2007,tamer.ihab@gmail.com,39.0,18,"Kuw@it City, Kuw@it",Software Developer,Single,B.Sc.,9855.33 GBP
Reem Fady,Reem,Fady,F,08/13/1979,11/01/2023,reem.fady@gmail.com,46.0,2,"Dubai, UAE",Doctor,Married,BS,4755.67 JPY
Galal Hesham,Galal,Hesham,M,04-02-1991,09-12-2019,galal.hesham@gmail.com,34.0,6,"Mexico City, Mexico",Data Scinetist,Single,High School,6587.08 GBP
Sana Kamal,Sana,Kamal,F,23-10-1990,16-03-2025,sana.kamal@gmail.com,35.0,0,"Kuwait City, Kuwait",DOCTOR,Single,Bachelor,
Hussein Latif,Hussein,Latif,M,25-01-1990,26-09-2022,hussein.latif@gmail.com,35.0,3,"Cairo, Egypt",Pharmacist,Single,Bachelor,59254.0 AUD
Layla Hatem,Layla,Hatem,F,07/25/1987,08/31/2012,LHATEM@GMAIL.COM,38.0,13,"Seoul, South Korea",Doctor,M,M.Sc.,136639.0 AUD
Wafaa Ali,Wafaa,Ali,F,1993/12/07,2025/09/22,wafaa.ali@gmail.com,32.0,0,"Doha, Qatar",BuSiNesS aNnAlYST,Single,M.Sc.,
Saad Tawfik,Saad,Tawfik,M,15-06-2006,01-07-2024,saad.tawfik@gmail.com,nan,1,"Berlin, Germany",Mechanical Engineer,Married,PhD,
Samar Saad,Samar,Saad,F,1989/04/15,2018/10/17,ssaad@gmail.com,36.0,7,"Dammam, KSA",Techer,Married,Bachelor,74629.0 EUR
Layla Khaled,Layla,Khaled,F,2000/12/01,2025/06/18,lkhaled@gmail.com,25.0,0,"London, UK",Nurse,S,Bachelor,
Radwa Khaled,Radwa,Khaled,F,01/09/1974,06/21/2002,radwa.khaled@gmail.com,51.0,23,"Bangkok, Thailand",teacher,Single,M.Sc.,102284.0 JPY
Sana Tawfik,Sana,Tawfik,F,06-08-1968,18-10-2022,sana.tawfik@gmail.com,,3,"Doha, Qatar",Mechanical Engineer,Single,M.Sc.,63050.0 AUD
Hanan Ihab,Hanan,Ihab,F,09/09/1993,02/15/2012,hanan.ihab@gmail.com,32.0,14,"Bangkok, Thailand",Lawyer,Single,PhD,135792.0 JPY
Dina Nader,Dina,Nader,F,16-04-1980,11-03-2023,DNADER@GMAIL.COM,45.0,2,"Mumbai, India",Lawyer,Single,Bachelor,64854.0 AUD
Heba Nashaat,Heba,Nashaat,F,26-11-2002,12-12-2022,heba.nashaat@gmail.com,23.0,3,"Moscow, Russia",Business Analyst,Single,BS,4271.5 AUD
Ali Ihab,Ali,Ihab,M,1981/10/02,2000/07/20,ali.ihab@gmail.com,44.0,25,"Doha, Qatar",Accountant,M,BS,110668.0 GBP
Wael Fouad,Wael,Fouad,M,1967/07/28,2013/11/16,wfouad@gmail.com,,12,"Jeddah, KSA",Business Analyst,,High School,11846.25 EUR
Amal Nashaat,Amal,Nashaat,F,1986/09/02,2025/07/10,amal.nashaat@gmail.com,39.0,0,"Bangkok, Thailand",Civil Engineer,Married,PhD,
Ahmed Mohamed,Ahmed,Mohamed,M,1966/04/26,1987/07/22,ahmed.mohamed@gmail.com,,38,"Cairo, Egypt",Financial Analyst,Single,Diploma,11874.58 GBP
Tawfik Hatem,Tawfik,Hatem,M,1986/03/16,2014/01/19,tawfik.hatem@gmail.com,39.0,12,"Bangkok, Thailand",LAWYER,Single,Diploma,113902.0 JPY
Wafaa Eslam,Wafaa,Eslam,F,10-01-1986,27-03-2014,weslam@gmail.com,39.0,11,"Bangkok, Thailand",Data Scientist,Married,M.Sc.,11594.75 JPY
Reem Fouad,Reem,Fouad,F,1991/12/01,2017/07/29,reem.fouad@gmail.com,34.0,8,"Mumbai, India",Civil Engineer,Married,PhD,7201.08 USD
Mohamed Nashaat,Mohamed,Nashaat,M,10/08/1975,06/20/2016,mohamed.nashaat@gmail.com,50.0,9,"Mexico City, Mexico",Pharmacist,,BS,97757.0 EUR
Youssef Waleed,Youssef,Waleed,M,2004/09/05,2023/11/26,ywaleed@gmail.com,21.0,2,"Beirut, Lebanon",Mechanical Engineer,Single,M.Sc.,4595.83 USD
Fatima Hatem,Fatima,Hatem,F,02/11/2005,12/11/2024,fatima.hatem@gmail.com,20.0,1,"Doha, Qatar",TEaCher,Married,PhD,
Layla Mostafa,Layla,Mostafa,F,27-06-2004,01-07-2024,lmostafa@gmail.com,21.0,1,"Mansoura, Egypt",Financial Analyst,M,High School,
Ayman Nader,Ayman,Nader,M,1989/10/22,2012/11/23,ayman.nader@gmail.com,36.0,13,"Cairo, Egypt",MECHANICAL ENGINEER,M,Diploma,11484.5 EGP
Amira Sami,Amira,Sami,F,19-11-1980,26-08-2004,asami@gmail.com,45.0,21,"Seoul, South Korea",Sales Manager,S,M.Sc.,134610.0 EGP
Wahid Mahmoud,Wahid,Mahmoud,M,01/20/1995,02/11/2026,wmahmoud@gmail.com,30.0,0,"Riyadh, KSA",Software Devloper,S,High School,
Kareem Hamza,Kareem,Hamza,M,1965/12/15,2005/03/09,khamza@gmail.com,,20,"Kuwait City, Kuwait",graphic designer,Married,B.Sc.,11226.33 EGP
Galal Nabil,Galal,Nabil,M,01-06-1991,24-05-2018,galal.nabil@gmail.com,34.0,7,"London, UK",NURSE,M,Bachelor,96363.0 USD
Dina Khalil,Dina,Khalil,F,1975/06/10,2018/05/06,dina.khalil@gmail.com,50.0,7,"Moscow, Russia",Data Scientist,Unknown,PhD,85291.0 JPY
Dina Ali,Dina,Ali,F,1973/05/05,1993/08/30,dina.ali@gmail.com,52.0,32,"Mansoura, Egypt",pharmacist,Single,Bachelor,111044.0 AUD
Radwa Yahya,Radwa,Yahya,F,1992/08/17,2025/02/25,ryahya@gmail.com,33.0,0,"Los Angeles, USA",Software Developer,M,High School,
Sherif Yahya,Sherif,Yahya,M,09/04/1988,11/24/2019,syahya@gmail.com,37.0,6,"Tokyo, Japan",Nurse,Married,Diploma,5997.08 EGP
Latif Wahid,Latif,Wahid,M,26-03-1986,11-10-2018,lwahid@gmail.com,39.0,7,"Buenos Aires, Argentina",Nurse,Married,B.Sc.,85493.0 JPY
Abdelrahman Hamza,Abdelrahman,Hamza,M,09-05-1995,30-05-2018,abdelrahman.hamza@gmail.com,30.0,7,"Sharjah, UAE",Electrical Enginere,S,BS,7750.83 EUR
Sahar Abdullah,Sahar,Abdullah,F,1982/05/15,2006/03/06,sahar.abdullah@gmail.com,43.0,19,"Rabat, Morocco",Financial Analist,Single,Bachelor,9503.0 JPY
Abdullah Osama,Abdullah,Osama,M,1991/12/08,2024/06/06,abdullah.osama@gmail.com,34.0,1,"Amman, Jordan",Lawyer,Married,BS,
Rafik Saad,Rafik,Saad,M,1971/09/27,2023/08/08,rsaad@gmail.com,54.0,2,"Muscat, Oman",Nurse,Married,Masters,58984.0 AUD
 Tamer Nabil ,Tamer,Nabil,M,01/28/1984,02/28/2011,tnabil@gmail.com,41.0,14,"Abu Dhabi, UAE",Electrical Engeneer,Married,Masters,120750.0 CAD
 Medhat Waleed ,Medhat,Waleed,M,11/09/1985,05/04/2008,mwaleed@gmail.com,40.0,17,"Istanbul, Turkey",Teacher,Single,BS,9492.5 CAD
Ayman Ali,Ayman,Ali,M,04/23/1980,06/16/2002,ayman.ali@gmail.com,45.0,23,"Doha, Qatar",#Dentist,Single,Bachelor,11471.33 CAD
Heba Nader,Heba,Nader,F,03/28/1966,10/28/2007,heba.nader@gmail.com,,18,"Paris, France",Accountant,,PhD,121897.0 GBP
Medhat Hatem,Medhat,Hatem,M,1968/12/19,2011/06/19,medhat.hatem@gmail.com,,14,"Kuwait City, Kuwait",meCHANiCal enGinerE,Single,BS,12237.58 EGP
Layla Abdelrahman,Layla,Abdelrahman,F,01/23/1992,11/01/2018,layla.abdelrahman@gmail.com,33.0,7,"Sydney, Australia",Civil Engineer,Married,Diploma,7354.0 EGP
Aisha Galal,Aisha,Galal,F,02/11/2003,04/01/2021,aisha.galal@gmail.com,22.0,4,"Bangkok, Thailand",Lawyer,Single,High School,68106.0 USD
Dina Youssef,Dina,Youssef,F,17-09-1981,16-11-2025,dina.youssef@gmail.com,44.0,0,"Mexico City, Mexico",NurSE,Married,Bachelor,
Zaki Latif,Zaki,Latif,M,04/03/1965,07/22/2003,zaki.latif@gmail.com,,22,"Dammam, KSA",PHArMacIsT,Married,PhD,11629.58 CAD
Ziad Abdelrahman,Ziad,Abdelrahman,M,1983/10/23,2003/06/14,zabdelrahman@gmail.com,42.0,22,"Doha, Qatar",Nurse,Single,BS,8834.5 CAD
Wafaa Osama,Wafaa,Osama,F,19-10-1986,29-09-2012,wafaa.osama@gmail.com,39.0,13,"Toronto, Canada",SoftWarE DEVElOper,M,BS,104490.0 EUR
Khaled Bassem,Khaled,Bassem,M,26-11-1977,04-10-1995,khaled.bassem@gmail.com,48.0,30,"Kuwait City, Kuwait",ARCHITECT,Married,Masters,147656.0 CAD
Sahar Tarek,Sahar,Tarek,F,01-10-1983,23-09-2004,sahar.tarek@gmail.com,42.0,21,"Muscat, Oman",Mechanical Engineer,Married,High School,9383.83 JPY
Waleed Ramy,Waleed,Ramy,M,1976/05/17,1994/03/10,waleed.ramy@gmail.com,49.0,31,"London, UK",Business Analyst,Married,Masters,132565.0 EUR
Amira Sami,Amira,Sami,F,04/24/1985,04/15/2018,amira.sami@gmail.com,40.0,7,"Doha, Qatar",ARCHITECT,Single,BS,7067.08 CAD
Kareem Mahmoud,Kareem,Mahmoud,M,28-02-1973,11-03-2004,kareem.mahmoud@gmail.com,52.0,21,"Sharjah, UAE",Data Scinetist,Married,High School,10923.42 USD
Amal Eslam,Amal,Eslam,F,07-07-1993,22-01-2021,amal.eslam@gmail.com,32.0,5,"Cairo, Egypt",Sales Managr,S,M.Sc.,98828.0 USD
Amira Tamer,Amira,Tamer,F,22-07-2005,08-06-2023,amira.tamer@gmail.com,20.0,2,"Cairo, Egypt",ACCOUNTANT,Married,PhD,61538.0 AUD
Salma Nader,Salma,Nader,F,06/22/2003,05/12/2025,salma.nader@gmail.com,22.0,0,"Sydney, Australia",Lawyer,S,B.Sc.,
Tawfik Galal,Tawfik,Galal,M,08/16/1996,12/25/2014,tawfik.galal@gmail.com,29.0,11,"Sharjah, UAE",Accountant,Single,M.Sc.,127152.0 EGP
Mohamed Hany,Mohamed,Hany,M,1979/08/11,2000/03/21,mohamed.hany@gmail.com,46.0,25,"Mexico City, Mexico",Lawyer,Unknown,BS,9024.75 EUR
Layla Sami,Layla,Sami,F,1983/08/21,2009/03/01,layla.sami@gmail.com,42.0,16,"Rabat, Morocco",data scientist,Single,M.Sc.,142271.0 JPY
Amira Amr,Amira,Amr,F,1990/02/08,2015/07/07,amira.amr@gmail.com,35.0,10,"Moscow, Russia",Pharmacist,Married,Masters,108058.0 JPY
Ghada Fouad,Ghada,Fouad,F,1986/04/21,2005/10/21,ghada.fouad@gmail.com,39.0,20,"Cape Town, South Africa",Docter,Single,PhD,10082.92 EUR
Aisha Amr,Aisha,Amr,F,10/07/1969,10/18/2008,aisha.amr at gmail.com,nan,17,"London, UK",SOFTWARE DEVELOPER,Single,Masters,11824.5 AUD
Mostafa Abdelrahman,Mostafa,Abdelrahman,M,12/11/1992,04/30/2021,mostafa.abdelrahman@gmail.com,33.0,4,"Buenos Aires, Argentina",Financial Analyst,Single,BS,52648.0 GBP
Amira Youssef,Amira,Youssef,F,1998/11/28,2025/01/25,amira.youssef@gmail.com,27.0,1,"Riyadh, KSA",Financial Analist,Married,Masters,
Hossam Omar,Hossam,Omar,M,16-03-1976,14-01-2013,homar@gmail.com,49.0,13,"Beirut, Lebanon",Architect,Single,Diploma,10397.0 CAD
Amr Hassan,Amr,Hassan,M,22-06-1975,22-04-2004,ahassan@gmail.com,50.0,21,"Sharjah, UAE",SOFTWARE DEVELOEPER,Married,BS,9409.83 CAD
Mariam Sami,Mariam,Sami,F,08-03-1971,09-01-2002,mariam.sami@gmail.com,54.0,24,"Rabat, Morocco",Docteur,Married,Diploma,143183.0 GBP
Ahmed Wael,Ahmed,Wael,M,23-08-1985,18-10-2018,ahmed.wael@gmail.com,40.0,7,"Toronto, Canada",Electrical Engeneer,Married,High School,6401.75 AUD
Hesham Nabil,Hesham,Nabil,M,1978/01/04,2015/05/20,hesham.nabil at gmail.com,47.0,10,"Muscat, Oman",Engineer,Married,B.Sc.,11898.92 GBP
Ashraf Ahmed,Ashraf,Ahmed,M,14-06-2006,06-06-2025,ashraf.ahmed@gmail.com,,0,"Doha, Qatar",Sales Managr,Single,High School,
Layla Hatem,Layla,Hatem,F,1980/03/08,2005/11/08,layla.hatem@gmail.com,45.0,20,"Ist@nbul, Turk3y",Electrical Engineer,Single,Bachelor,133737.0 EGP
Zaki Hatem,Zaki,Hatem,M,07-05-1971,24-08-2018,zaki.hatem@gmail.com,54.0,7,"New York, USA",Teachr,Married,BS,75364.0 EGP
Tarek Fady,Tarek,Fady,M,1986/04/22,2021/07/30,tarek.fady@gmail.com,39.0,4,"Muscat, Oman",$Engineer,Single,Bachelor,58816.0 AUD
Amr Nader,Amr,Nader,M,07/02/1997,05/28/2017,anader@gmail.com,28.0,8,"London, UK",Business Analyist,Single,PhD,6552.08 GBP
Yasmeen Mohamed,Yasmeen,Mohamed,F,28-01-1969,21-04-1990,ymohamed@gmail.com,,35,"Amman, Jordan",FinANcial ANalYst,Single,B.Sc.,110857.0 GBP
Youssef Omar,Youssef,Omar,M,02/16/1993,02/13/2014,youssef.omar@gmail.com,32.0,12,"Tokyo, Japan",Financial Analyst,,B.Sc.,115886.0 EGP
Sara Fouad,Sara,Fouad,F,1978/12/25,2001/09/01,sfouad@gmail.com,47.0,24,"Paris, France",saLes maNaGER,Married,High School,118326.0 CAD
Zainab Mounir,Zainab,Mounir,F,03/09/1988,12/28/2015,zmounir@gmail.com,37.0,10,"Mumbai, India",Doctor,M,BS,10123.08 GBP
Salma Nader,Salma,Nader,F,1980/05/13,2008/11/16,salma.nader@gmail.com,45.0,17,"Riyadh, KSA",Data Scientist,Married,BS,132769.0 GBP
Rania Tarek,Rania,Tarek,F,1990/07/28,2025/06/04,rania.tarek@gmail.com,35.0,0,"Buenos Aires, Argentina",Mechanical Engineer,Married,BS,
Ibrahim Adel,Ibrahim,Adel,M,2005/07/07,2023/10/24,ibrahim.adel@gmail.com,20.0,2,"Istanbul, Turkey",Teacher,Single,High School,4424.75 EGP
Wael Mounir,Wael,Mounir,M,1969/12/05,2014/03/15,wael.mounir@gmail.com,,11,"Cape Town, South Africa",Dentist,Single,B.Sc.,10560.0 EUR
Nour Nader,Nour,Nader,F,05/21/1993,01/05/2023,nour.nader@gmail.com,32.0,3,"Doha, Qatar",Electrical Engineer,Married,Diploma,5565.08 AUD
Amira Ihab,Amira,Ihab,F,11/08/1997,07/11/2019,amira.ihab@gmail.com,28.0,6,"São Paulo, Brazil",Financial Analyst,,PhD,7746.83 GBP
Aisha Omar,Aisha,Omar,F,07-05-1994,10-07-2013,aisha.omar@gmail.com,31.0,12,"Sydney, Australia",Electrical Enginear,Married,Diploma,103710.0 CAD
Wafaa Mohamed,Wafaa,Mohamed,F,1981/01/09,2007/09/06,wafaa.mohamed@gmail.com,44.0,18,"Paris, France",Doctor,Single,High School,8691.5 JPY
Nada Galal,Nada,Galal,F,06/23/1994,05/28/2019,nada.galal@gmail.com,31.0,6,"Buenos Aires, Argentina",Lawyer,Single,PhD,6206.75 GBP
Tamer Jamal,Tamer,Jamal,M,1973/07/22,1995/11/22,tamer.jamal@gmail.com,52.0,30,"Toronto, Canada",Software Developer,Married,BS,10912.58 JPY
Ashraf Rafik,Ashraf,Rafik,M,01-04-1974,22-05-2000,ashraf.rafik@gmail.com,51.0,25,"São Paulo, Brazil",Civil Engineer,Single,Masters,144661.0 EGP
Layla Sami,Layla,Sami,F,1979/01/06,2000/02/24,lsami@gmail.com,46.0,25,"N3w York, USA",accountant,Single,Masters,11912.08 USD
Aisha Abdelrahman#,Aisha,Abdelrahman,F,1978/02/27,2009/07/12,aabdelrahman@gmail.com,47.0,16,"Cairo, Egypt",Lawyer,Single,High School,103497.0 EGP
Latif Hatem,Latif,Hatem,M,1994/12/09,2022/08/16,latif.hatem@gmail.com,31.0,3,"Rabat, Morocco",Mechanical Engineer,Unknown,BS,4873.17 AUD
Ashraf Waleed,Ashraf,Waleed,M,02/17/1971,02/14/1995,awaleed@gmail.com,54.0,31,"Dammam, KSA",Doctor,Single,Bachelor,8487.58 USD
Ashraf Abdelrahman,Ashraf,Abdelrahman,M,27-12-1996,01-10-2017,ashraf.abdelrahman at gmail.com,29.0,8,"Dubai, UAE",Nurse,Married,High School,95240.0 USD
Dina Mostafa,Dina,Mostafa,F,1985/06/11,2019/03/02,dina.mostafa@gmail.com,40.0,6,"Dammam, KSA",Architect,S,High School,75974.0 CAD
Waleed Omar,Waleed,Omar,M,13-08-1984,28-12-2020,waleed.omar@gmail.com,41.0,5,"Beijing, China",financial analyst,Unknown,Diploma,8127.83 CAD
Amal Ahmed,Amal,Ahmed,F,10/18/2000,08/21/2018,amal.ahmed@gmail.com,25.0,7,"Beijing, China",Engineer,Single,High School,6206.33 CAD
Fouad Mostafa,Fouad,Mostafa,M,25-03-1994,17-04-2021,fmostafa@gmail.com,31.0,4,"Seoul, South Korea",Nurse,Single,B.Sc.,5215.42 EGP
Waleed Tarek,Waleed,Tarek,M,1967/10/07,2019/01/30,wtarek@gmail.com,,7,"Riyadh, KSA",Data Scientist,Married,High School,8092.08 JPY
Rania Adel,Rania,Adel,F,1995/11/22,2014/01/11,rania.adel@gmail.com,30.0,12,"Berlin, Germany",Graphic Designer,Single,High School,123031.0 AUD
Reem Eslam,Reem,Eslam,F,02-02-1977,18-12-2007,reslam@gmail.com,48.0,18,"Los Angeles, USA",Electrical Engineer,Single,B.Sc.,9204.08 EUR
Fatima Rafik,Fatima,Rafik,F,1982/11/12,2005/01/12,fatima.rafik@gmail.com,43.0,21,"Los Angeles, USA",financial analyst,Single,High School,10940.75 EGP
Hany Tarek,Hany,Tarek,M,12/20/2006,10/23/2024,hany.tarek@gmail.com,,1,"Istanbul, Turkey",Nurse,Single,M.Sc.,
Rana Hatem,Rana,Hatem,F,06/12/1980,10/09/2025,rhatem@gmail.com,45.0,0,"Jeddah, KSA",Accountant,Single,B.Sc.,
Esraa Abdullah,Esraa,Abdullah,F,14-08-1988,30-03-2017,esraa.abdullah@gmail.com,37.0,8,"Abu Dhabi, UAE",Data Scientist,Single,Masters,7327.58 CAD
Amira Hany,Amira,Hany,F,1995/03/08,2023/07/18,amira.hany@gmail.com,30.0,2,"Moscow, Russia",Software Developer,Married,Masters,4726.67 AUD
Salma Mohamed,Salma,Mohamed,F,12/01/1986,09/12/2019,salma.mohamed@gmail.com,39.0,6,"Berlin, Germany",Sales Maneger,Single,M.Sc.,72722.0 EGP
Salma Amr,Salma,Amr,F,20-07-1975,15-08-2010,salma.amr@gmail.com,50.0,15,"Paris, France",Teecher,Single,Diploma,138592.0 EUR
Hussein Galal$,Hussein,Galal,M,06-09-1966,25-09-1994,hgalal@gmail.com,,31,"Istanbul, Turkey",Dentist,Single,High School,120703.0 AUD
Tawfik Tamer,Tawfik,Tamer,M,11/07/1994,11/20/2014,tawfik.tamer@gmail.com,31.0,11,"Muscat, Oman",Dentist,Single,Masters,8457.5 CAD
 Sahar Mostafa ,Sahar,Mostafa,F,2005/06/03,2026/01/05,sahar.mostafa@gmail.com,20.0,0,"Beirut, Lebanon",Electrical Engineer,,Bachelor,
Salma Sherif,Salma,Sherif,F,12/16/1966,12/25/2015,ssherif@gmail.com,,10,"Buenos Aires, Argentina",lawyer,Married,BS,103756.0 EGP
Nashaat Ashraf$,Nashaat,Ashraf,M,08/12/1995,08/14/2018,nashaat.ashraf@gmail.com,30.0,7,"Doha, Qatar",Accountant,Single,M.Sc.,89404.0 JPY
Hamza Khalil,Hamza,Khalil,M,08/24/2000,10/08/2021,hamza.khalil@gmail.com,25.0,4,"Dammam, KSA",Business Analyst,Married,Bachelor,5257.08 GBP
Latif Wael,Latif,Wael,M,05-08-1975,23-10-2003,lwael@gmail.com,50.0,22,"Dammam, KSA",Financial Analyst,M,Bachelor,124796.0 EGP
Hamza Galal,Hamza,Galal,M,03/05/1973,02/16/2001,hgalal@gmail.com,52.0,25,"Cairo, Egypt",Electrical Enginere,Single,High School,130575.0 EGP
Hussein Ahmed,Hussein,Ahmed,M,03/15/1998,09/29/2018,hussein.ahmed@gmail.com,27.0,7,"Cape Town, South Africa",Civil Enginere,Married,M.Sc.,71888.0 EGP
Wahid Ziad,Wahid,Ziad,M,03/11/2004,05/15/2023,wziad at gmail.com,21.0,2,"Tokyo, Japan",&Doctor,Single,High School,59793.0 JPY
Ruqayya Hatem,Ruqayya,Hatem,F,1981/11/28,2001/02/16,RUQAYYA.HATEM@GMAIL.COM,44.0,25,"Los Angeles, USA",Business Annalyst,Single,B.Sc.,113738.0 GBP
Hossam Ahmed,Hossam,Ahmed,M,25-12-1968,07-06-1996,hossam.ahmed@gmail.com,,29,"Sydney, Australia",Graphic Designer,Married,Masters,136080.0 GBP
Hesham Ramy,Hesham,Ramy,M,12-11-1996,30-11-2017,hramy@gmail.com,29.0,8,"Muscat, Oman",pHaRmaCisT,Married,B.Sc.,72812.0 CAD
Ayman Amr,Ayman,Amr,M,06/16/1985,12/31/2006,ayman.amr@gmail.com,40.0,19,"Beirut, Lebanon",Software Devloper,Married,B.Sc.,11179.67 EUR
Omar Tarek,Omar,Tarek,M,03/01/1983,07/29/2006,OMAR.TAREK@GMAIL.COM,42.0,19,"São Paulo, Brazil",software develoeper,Single,Bachelor,102353.0 EUR
Rana Mohamed,Rana,Mohamed,F,25-07-1992,23-12-2015,rana.mohamed@gmail.com,33.0,10,"New York, USA",Architect,M,BS,9935.17 JPY
Fatima Omar,Fatima,Omar,F,04/04/1967,09/16/2012,FATIMA.OMAR@GMAIL.COM,,13,"New York, USA",Doctor,Single,B.Sc.,11563.42 CAD
Rafik Amr,Rafik,Amr,M,07/11/1981,06/28/2020,rafik.amr@gmail.com,44.0,5,"Beirut, Lebanon",Teacher,Unknown,Diploma,8014.58 USD
Sara Nabil,Sara,Nabil,F,1998/07/11,2017/08/07,snabil@gmail.com,27.0,8,"Tokyo, Japan",Software Developer,Married,Masters,73052.0 USD
Ruqayya Wahid,Ruqayya,Wahid,F,2004/03/25,2022/05/18,rwahid@gmail.com,21.0,3,"Jeddah, KSA",Civil Engineer,Married,M.Sc.,4203.17 JPY
Reem Sami,Reem,Sami,F,05/27/1979,09/05/2006,rsami@gmail.com,46.0,19,"Cairo, Egypt",Software Developer,Single,B.Sc.,9302.5 USD
Kamal Kamal,Kamal,Kamal,M,06-10-2002,06-08-2020,KKAMAL@GMAIL.COM,23.0,5,"Seoul, South Korea",Doctor,Single,BS,6164.58 EGP
Khaled Abdullah,Khaled,Abdullah,M,07-05-1996,14-09-2025,khaled.abdullah@gmail.com,29.0,0,"Doha, Qatar",Data Scientist,Married,High School,
 Bassem Hesham ,Bassem,Hesham,M,1981/02/18,2023/06/01,bassem.hesham@gmail.com,44.0,2,"Amman, Jordan",Lawyer,Single,B.Sc.,52677.0 EUR
Ayman Hassan,Ayman,Hassan,M,1972/03/04,2014/11/22,ayman.hassan@gmail.com,53.0,11,"New York, USA",Graphic Designer,Married,BS,9776.25 USD
Lina Jamal,Lina,Jamal,F,11-03-2004,18-11-2023,lina.jamal@gmail.com,21.0,2,"Sharjah, UAE",Pharmacist,Married,Diploma,62957.0 EGP
Waleed Ayman,Waleed,Ayman,M,12-02-1976,18-04-2014,wayman@gmail.com,49.0,11,"B3irut, L3b@non",DENTIST,Married,BS,8519.08 EUR
Hesham Medhat,Hesham,Medhat,M,10-02-1984,02-06-2006,HMEDHAT@GMAIL.COM,41.0,19,"Mansoura, Egypt",Nurse,Married,High School,8599.83 EUR
Mariam Khaled,Mariam,Khaled,F,27-07-1971,16-01-2009,mariam.khaled@gmail.com,54.0,17,"Paris, France",NURSE,Married,High School,134947.0 GBP
Latif Bassem,Latif,Bassem,M,06/03/1981,07/21/2019,latif.bassem@gmail.com,44.0,6,"Istanbul, Turkey",DOCTOR,Married,Masters,6481.58 EUR
Fatima Omar,Fatima,Omar,F,2004/08/01,2025/06/06,fatima.omar@gmail.com,21.0,0,"Muscat, Oman",Lawyer,Single,Masters,
Amira Hussein,Amira,Hussein,F,2003/06/15,2022/10/30,amira.hussein@gmail.com,22.0,3,"Doha, Qatar",Lawyer,Single,B.Sc.,55100.0 AUD
Aisha Mohamed,Aisha,Mohamed,F,2007/05/08,2025/03/01,aisha.mohamed@gmail.com,,0,"London, UK",Civil Engineer,Unknown,PhD,
Hassan Tawfik,Hassan,Tawfik,M,2002/06/08,2025/02/06,hassan.tawfik@gmail.com,23.0,1,"Beirut, Lebanon",Accountant,Single,BS,
Radwa Khalil,Radwa,Khalil,F,03/24/1978,07/15/1996,RKHALIL@GMAIL.COM,47.0,29,"Berlin, Germany",Accountant,Unknown,Diploma,12299.08 EUR
Rafik Amr,Rafik,Amr,M,25-12-2002,08-06-2020,ramr@gmail.com,23.0,5,"Kuwait City, Kuwait",Enginear,Married,PhD,90413.0 GBP
Mahmoud Ibrahim,Mahmoud,Ibrahim,M,14-01-1982,06-08-2022,mibrahim@gmail.com,43.0,3,"Dammam, KSA",Architect,Married,Bachelor,68480.0 CAD
Zainab Hany,Zainab,Hany,F,04-08-2000,02-04-2024,zainab.hany@gmail.com,25.0,1,"Mexico City, Mexico",DATA SCIENTIST,Married,BS,
Noha Nabil,Noha,Nabil,F,01-09-1992,09-11-2024,noha.nabil@gmail.com,33.0,1,"Toronto, Canada",Accountant,Single,High School,
Hatem Khalil,Hatem,Khalil,M,1981/05/21,2000/06/11,hatem.khalil@gmail.com,44.0,25,"Muscat, Oman",Pharmacist,S,Masters,11842.42 JPY
Salma Ibrahim,Salma,Ibrahim,F,09-09-1991,06-08-2011,sibrahim@gmail.com,34.0,14,"Kuw@it City, Kuw@it",ENGINEER,Married,M.Sc.,9908.08 EGP
Tawfik Rafik,Tawfik,Rafik,M,2007/11/08,2026/02/06,trafik@gmail.com,,0,"Istanbul, Turkey",Architect,Single,High School,
Latif Youssef,Latif,Youssef,M,07-06-2001,28-06-2020,latif.youssef@gmail.com,24.0,5,"Beijing, China",Teacher,Single,Diploma,7861.67 EUR
Mostafa Zaki,Mostafa,Zaki,M,26-05-1985,04-02-2024,mzaki@gmail.com,40.0,2,"Kuwait City, Kuwait",DOCTOR,Married,B.Sc.,63396.0 EGP
Heba Zaki,Heba,Zaki,F,10/16/1987,05/13/2010,hzaki@gmail.com,38.0,15,"Cairo, Egypt",Accountant,Single,Masters,12240.67 CAD
Nour Kareem,Nour,Kareem,F,09/26/1968,02/08/2023,nour.kareem@gmail.com,,3,"Riyadh, KSA",Accountant,Single,M.Sc.,63178.0 EGP
Nada Nashaat,Nada,Nashaat,F,01-07-1975,05-12-1996,nada.nashaat@gmail.com,50.0,29,"Buenos Aires, Argentina",Dentist,Unknown,High School,141809.0 USD
Nader Ahmed,Nader,Ahmed,M,27-12-1994,05-04-2022,nader.ahmed@gmail.com,31.0,3,"Kuwait City, Kuwait",ElecTRICaL eNgINEer,Single,Diploma,4936.42 USD
Aisha Kareem,Aisha,Kareem,F,02/11/1995,11/30/2017,aisha.kareem@gmail.com,30.0,8,"Seoul, South Korea",sales manger,Single,BS,75495.0 EGP
